ticker,yield,payout_ratio,debt_to_equity,fcf,market_cap,earnings_growth,revenue_growth,profit_margin,current_ratio,roe,div_cagr_5y,consec_increases,annual_div_now,fcf_coverage,safety_score,composite_score
LOW,0.021012122,0.40080002,0.0,4987375104,125745324032,-0.11,0.109,0.07712,1.077,0.0,0.15873217925961436,26,4.699999999999999,1.8946865654049614,0.78,0.495683217095182
BLK,0.019753637,0.5376,0.23635,7082375168,169593126912,0.459,0.27,0.24396999,2.168,0.118990004,0.07494493982203831,16,20.84,2.1892451503103096,0.9500000000000001,0.49314874743165676
QCOM,0.0149875805,0.38279998,0.55979,9589624832,221666738176,1.73,-0.035,0.22308001,2.366,0.36083,0.06493207537900791,23,3.52,2.5847488011040194,0.9,0.478671270987625
TGT,0.038162783,0.556,1.25518,2590125056,55318671360,-0.05,-0.015,0.03536,0.942,0.24034001,0.11019873502812838,42,4.52,1.2617051653389513,0.7500000000000001,0.45063608645581804
AVGO,0.0057885773,0.47169998,0.8270399999999999,25503750144,1985246396416,0.316,0.295,0.36571997,1.902,0.33370999,0.12633302989831052,6,2.42,2.2258665907231867,0.8999999999999999,0.44721114183099053
ABT,0.029554265,0.67230004,0.6477299999999999,6341125120,146921930752,-0.197,0.078,0.13904999,1.388,0.123339996,0.10384959381787073,12,2.36,1.5425979632536486,0.78,0.39873771950161374
MS,0.020931449,0.35549998,5.02246,0,302649442304,0.319,0.163,0.24753,1.961,0.16388,0.22423992536427462,12,3.85,0.0,0.6,0.37918687206320595
MSFT,0.0086269565,0.20729999,0.30271000000000003,37011251200,3029092794368,0.234,0.183,0.39341998,1.283,0.34013999,0.10221553083716572,20,3.4,1.4654045638693494,0.8500000000000001,0.3762228290820851
GS,0.016404547,0.2831,6.78596,0,279047536640,0.242,0.145,0.29363,1.5,0.14548,0.22865967908314722,14,14.0,0.0,0.6,0.3710075808323604
IBM,0.030060388,0.59470004,2.1116900000000003,13080750080,206041661440,0.142,0.095,0.15606,0.796,0.35772,0.015160386305469453,30,6.71,2.0741266897597948,0.73,0.3659037300227175
